set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.9998,0.9998,0.9946,0.9565,0.9893,0.9355,1.0000,0.8800,0.8776,1.0000,0.9348
fold 2,0.9999,0.9999,0.9805,0.9565,0.9942,0.9457,0.9444,0.9474,0.9623,0.9444,0.9533
fold 3,0.9999,0.9999,0.9845,0.9239,0.9782,0.9457,0.8980,1.0000,1.0000,0.8980,0.9462
fold 4,0.9999,0.9999,0.9895,0.9565,0.9836,0.9348,0.9487,0.9245,0.9024,0.9487,0.9250
fold 5,0.9999,0.9999,0.9858,0.9239,0.9886,0.9565,0.9762,0.9400,0.9318,0.9762,0.9535
fold 6,0.9998,0.9998,0.9976,0.9783,0.9810,0.9239,0.8980,0.9535,0.9565,0.8980,0.9263
fold 7,0.9998,0.9998,0.9896,0.9565,0.9957,0.9783,0.9762,0.9800,0.9762,0.9762,0.9762
fold 8,0.9999,0.9999,0.9754,0.9565,0.9891,0.9457,0.9535,0.9388,0.9318,0.9535,0.9425
fold 9,0.9999,0.9999,0.9622,0.9022,0.9716,0.9348,0.9111,0.9574,0.9535,0.9111,0.9318
fold 10,0.9998,0.9998,0.9926,0.9462,0.9669,0.8913,0.8444,0.9362,0.9268,0.8444,0.8837
