set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.93,0.93,0.92,0.92,0.93,1,0.9038,0.9512,0.9592,0.9038,0.9307
fold 2,0.93,0.93,0.93,0.93,0.92,1,0.9111,0.9362,0.9318,0.9111,0.9213
fold 3,0.93,0.93,0.87,0.88,0.93,1,0.9434,0.9231,0.9434,0.9434,0.9434
fold 4,0.93,0.93,0.93,0.92,0.87,1,0.8529,0.8966,0.8286,0.8529,0.8406
fold 5,0.93,0.93,0.94,0.95,0.91,1,0.8980,0.9302,0.9362,0.8980,0.9167
fold 6,0.93,0.93,0.90,0.89,0.94,1,0.9600,0.9286,0.9412,0.9600,0.9505
fold 7,0.93,0.93,0.98,0.98,0.90,1,0.9500,0.8462,0.8261,0.9500,0.8837
fold 8,0.93,0.93,0.92,0.92,0.99,1,0.9744,1.0000,1.0000,0.9744,0.9870
fold 9,0.93,0.93,0.95,0.95,0.92,1,0.9302,0.9184,0.9091,0.9302,0.9195
fold 10,0.93,0.93,0.93,0.92,0.92,1,0.8913,0.9565,0.9535,0.8913,0.9213
ave.,0.93,0.93,0.93,0.93,0.92,1,0.9200,0.9300,0.9200,0.9200,0.9200
