set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.95,0.95,0.92,0.92,0.87,1,0.8529,0.8814,0.8056,0.8529,0.8286
fold 2,0.93,0.93,0.90,0.90,0.91,1,0.9000,0.9286,0.9375,0.9000,0.9184
fold 3,0.92,0.92,0.95,0.95,0.88,1,0.8889,0.8684,0.9057,0.8889,0.8972
fold 4,0.94,0.94,0.90,0.90,0.95,1,0.9348,0.9565,0.9556,0.9348,0.9451
fold 5,0.92,0.92,0.92,0.92,0.89,1,0.8667,0.9149,0.9070,0.8667,0.8864
fold 6,0.93,0.93,0.85,0.85,0.93,1,1.0000,0.8649,0.9167,1.0000,0.9565
fold 7,0.93,0.93,0.95,0.96,0.85,1,0.9318,0.7708,0.7885,0.9318,0.8542
fold 8,0.94,0.94,0.91,0.91,0.92,1,0.9184,0.9302,0.9375,0.9184,0.9278
fold 9,0.93,0.93,0.88,0.88,0.91,1,0.8696,0.9565,0.9524,0.8696,0.9091
fold 10,0.95,0.95,0.88,0.88,0.88,1,0.8085,0.9556,0.9500,0.8085,0.8736
ave.,0.93,0.93,0.91,0.91,0.90,1,0.9000,0.9000,0.9100,0.9000,0.9000
