set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.99,0.99,0.95,0.92,0.97,1,0.8723,0.9348,0.9318,0.8723,0.9011
fold 2,0.99,0.99,0.99,0.96,0.96,1,0.9333,0.8936,0.8936,0.9333,0.9130
fold 3,1.00,1.00,0.97,0.96,0.96,1,0.8864,0.9375,0.9286,0.8864,0.9070
fold 4,0.99,0.99,0.96,0.93,0.95,1,0.8776,0.9302,0.9348,0.8776,0.9053
fold 5,0.98,0.98,0.99,0.96,0.97,1,0.8723,1.0000,1.0000,0.8723,0.9318
fold 6,0.98,0.98,0.99,0.95,0.99,1,0.8537,0.9804,0.9722,0.8537,0.9091
fold 7,0.99,0.99,0.96,0.91,0.99,1,0.9444,0.8929,0.8500,0.9444,0.8947
fold 8,1.00,1.00,0.98,0.97,0.94,1,0.8913,0.9348,0.9318,0.8913,0.9111
fold 9,0.99,0.99,0.98,0.93,0.98,1,0.7660,0.9778,0.9730,0.7660,0.8571
fold 10,0.99,0.99,0.97,0.94,0.98,1,0.9388,0.9302,0.9388,0.9388,0.9388
ave.,0.99,0.99,0.97,0.94,0.97,1,0.8800,0.9400,0.9400,0.8800,0.9100
