set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.99,0.99,0.99,0.93,0.99,1,0.9487,0.9630,0.9487,0.9487,0.9487
fold 2,0.99,0.99,1.00,0.98,0.99,1,0.9286,0.9400,0.9286,0.9286,0.9286
fold 3,0.98,0.98,0.97,0.90,1.00,1,0.9556,0.9574,0.9556,0.9556,0.9556
fold 4,0.99,0.99,0.97,0.95,0.95,1,0.9268,0.8824,0.8636,0.9268,0.8941
fold 5,0.99,0.99,0.98,0.93,0.98,1,0.9268,0.9412,0.9268,0.9268,0.9268
fold 6,0.99,0.99,0.96,0.95,0.97,1,0.9592,0.8837,0.9038,0.9592,0.9307
fold 7,1.00,1.00,0.96,0.91,0.94,1,0.9057,0.9744,0.9796,0.9057,0.9412
fold 8,0.99,0.99,0.98,0.95,0.94,1,0.8491,0.9744,0.9783,0.8491,0.9091
fold 9,0.98,0.98,0.96,0.92,0.97,1,0.8293,0.9412,0.9189,0.8293,0.8718
fold 10,0.99,0.99,1.00,0.96,0.94,1,0.8936,0.9556,0.9545,0.8936,0.9231
